norm_name,raw_name,sources,source_count,ida_ny,ida_oh,nursing_home,charter_school,faith_hospital,oge_trade,fara,capitol_trade,water_epa,opioid,hrsa_340b,opioid_vendor,fara_principal,dol_whd,nih_exporter,osha,msha,cfpb,sam_gov,usaspending
AMES,AMES,osha|water_epa,2,,,,,,,,,Y,,,,,,,Y,,,,
AMES 1,AMES 1,dol_whd|usaspending,2,,,,,,,,,,,,,,Y,,,,,,Y
AMES REESE,AMES REESE,osha|water_epa,2,,,,,,,,,Y,,,,,,,Y,,,,
AMES RUBBER,AMES RUBBER,osha|water_epa,2,,,,,,,,,Y,,,,,,,Y,,,,
AMES TRUE TEMPER,AMES TRUE TEMPER INC,osha|water_epa,2,,,,,,,,,Y,,,,,,,Y,,,,
AMETHYST BUILDERS,AMETHYST BUILDERS,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
AMEX,AMEX,dol_whd|msha,2,,,,,,,,,,,,,,Y,,,Y,,,
AMEZQUITA ROGELIO,AMEZQUITA ROGELIO,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
AMFIT,AMFIT,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
AMG AIREPS,AMG AIREPS,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
AMG CONSTRUCTION,AMG CONSTRUCTION,dol_whd|osha,2,,,,,,,,,,,,,,Y,,Y,,,,
AMG HEALTHCARE SERVICES,AMG HEALTHCARE SERVICES,dol_whd|usaspending,2,,,,,,,,,,,,,,Y,,,,,,Y
AMG SERVICES,AMG SERVICES,dol_whd|sam_gov,2,,,,,,,,,,,,,,Y,,,,,Y,
AMHERST ALARM,"Amherst Alarm, Inc.",dol_whd|ida_ny,2,Y,,,,,,,,,,,,,Y,,,,,,
AMICK ASSOCIATES,AMICK ASSOCIATES,osha|usaspending,2,,,,,,,,,,,,,,,,Y,,,,Y
AMIDA CARE,AMIDA CARE,dol_whd|nih_exporter,2,,,,,,,,,,,,,,Y,Y,,,,,
AMIGO MOBILITY INTERNATIONAL,AMIGO MOBILITY INTERNATIONAL,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
AMIGOS DEL VALLE,AMIGOS DEL VALLE,dol_whd|sam_gov,2,,,,,,,,,,,,,,Y,,,,,Y,
AMKOR TECHNOLOGY,"Amkor Technology, Inc.",capitol_trade|oge_trade,2,,,,,,Y,,Y,,,,,,,,,,,,
AMLI RESIDENTIAL,AMLI RESIDENTIAL,dol_whd|osha,2,,,,,,,,,,,,,,Y,,Y,,,,
AMMENDOLA ANTONIO,AMMENDOLA ANTONIO,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
