facility_name,opcert,ccn,city,is_religious,match_type,confidence,parent_system,denomination,is_sole_county,total_discharges,ob_discharges,csection_count,PGN008_count,FRS005_count,FRS003_count,FRS001_count,PGN008_rate_per1k,FRS005_rate_per1k,FRS003_rate_per1k,FRS001_rate_per1k
Plainview Hospital,2952005,,,False,,,,,,16849,16,0,0,0,6,51,0.0,0.0,375.0,3.03
Putnam Hospital,3950000,,,False,,,,,,6702,114,40,0,0,2,5,0.0,0.0,17.54,0.75
Queens Hospital Center,7003007,,,False,,,,,,25369,3063,817,0,3,6,98,0.0,0.98,1.96,3.86
Redacted for Confidentiality,,,,False,,,,,,10685,6655,103,806,127,417,38,121.11,19.08,62.66,3.56
Richmond University Medical Center,7004010,,,False,,,,,,28951,5552,2074,0,5,13,91,0.0,0.9,2.34,3.14
"River Hospital, Inc.",2221700,,,False,,,,,,269,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Rochester General Hospital,2701003,,,False,,,,,,55505,3701,978,0,1,18,87,0.0,0.27,4.86,1.57
"Rome Memorial Hospital, Inc",3201002,,,False,,,,,,8050,1383,424,0,0,0,6,0.0,0.0,0.0,0.75
Roswell Park Cancer Institute,1401010,,,False,,,,,,10947,0,0,0,2,21,143,0.0,0.0,0.0,13.06
SBH Health System,7000014,,,False,,,,,,28409,1529,369,0,3,5,48,0.0,1.96,3.27,1.69
SJRH - Dobbs Ferry Pavillion,5907001,,,False,,,,,,29359,2363,897,0,0,4,92,0.0,0.0,1.69,3.13
Samaritan Hospital,4102002,,,False,,,,,,19384,1636,268,0,1,7,16,0.0,0.61,4.28,0.83
Samaritan Medical Center,2201000,,,False,,,,,,16944,2766,789,0,1,1,5,0.0,0.36,0.36,0.3
Saratoga Hospital,4501000,,,False,,,,,,21328,1729,518,0,0,1,3,0.0,0.0,0.58,0.14
Schuyler Hospital,4823700,,,False,,,,,,601,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Sisters of Charity Hospital,1401013,330078,BUFFALO,True,EXACT,MEDIUM,Catholic Health (Buffalo),CATHOLIC,False,25436,6038,1748,0,0,5,54,0.0,0.0,0.83,2.12
Soldiers and Sailors Memorial Hospital of Yates County,6120700,,,False,,,,,,534,0,0,0,0,0,0,0.0,0.0,0.0,0.0
South Shore University Hospital,5154000,,,False,,,,,,49519,5788,2015,0,8,53,586,0.0,1.38,9.16,11.83
St Anthony Community Hospital,3529000,330205,WARWICK,True,EXACT,HIGH,,UNKNOWN_RELIGIOUS,False,4044,758,312,0,0,2,34,0.0,0.0,2.64,8.41
St Catherine of Siena Hospital,5157003,330401,SMITHTOWN,True,EXACT,HIGH,,UNKNOWN_RELIGIOUS,False,20094,568,261,0,0,2,8,0.0,0.0,3.52,0.4
St Elizabeth Medical Center,3202002,,,False,,,,,,8041,2,0,0,0,0,0,0.0,0.0,0.0,0.0
St Johns Episcopal Hospital So Shore,7001024,,,False,,,,,,17198,967,243,0,0,2,30,0.0,0.0,2.07,1.74
St Luke's Cornwall Hospital/Newburgh,3522000,,,False,,,,,,20499,2524,864,0,1,1,52,0.0,0.4,0.4,2.54
St. Charles Hospital,5149001,330246,PORT JEFFERSON,True,NORMALIZED,HIGH,,UNKNOWN_RELIGIOUS,False,20973,2638,1227,0,0,4,59,0.0,0.0,1.52,2.81
St. Francis Hospital & Heart Center,2953000,330182,ROSLYN,True,TOKEN,HIGH,,UNKNOWN_RELIGIOUS,False,39288,6,0,0,0,0,1,0.0,0.0,0.0,0.03
St. James Hospital,5002001,,,False,,,,,,1834,0,0,0,0,0,0,0.0,0.0,0.0,0.0
St. Joseph Hospital,2952006,,,False,,,,,,12840,6,0,0,0,1,2,0.0,0.0,166.67,0.16
St. Joseph's Hospital,0701001,,,False,,,,,,292,0,0,0,0,0,0,0.0,0.0,0.0,0.0
St. Joseph's Hospital Health Center,3301003,,,False,,,,,,35188,3190,995,0,3,3,21,0.0,0.94,0.94,0.6
St. Joseph's MC-St. Vincent's Westchester Division,5907002,,,False,,,,,,11021,1,0,0,0,0,7,0.0,0.0,0.0,0.64
St. Mary's Healthcare,2801001,330047,AMSTERDAM,True,NORMALIZED,MEDIUM,SSM Health,CATHOLIC,True,7245,739,219,0,0,0,9,0.0,0.0,0.0,1.24
St. Peter's Addiction Recovery Center,0101004,,,False,,,,,,49308,6033,2229,0,0,13,111,0.0,0.0,2.15,2.25
Staten Island University Hosp-North,7004003,,,False,,,,,,77134,6667,1465,0,5,29,240,0.0,0.75,4.35,3.11
Stony Brook Eastern Long Island Hospital,5151001,,,False,,,,,,82679,9686,3569,0,5,15,178,0.0,0.52,1.55,2.15
Stony Brook Eastern Long Island Hospital,5127000,,,False,,,,,,689,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Strong Memorial Hospital,2701005,,,False,,,,,,80020,7526,2271,0,7,21,92,0.0,0.93,2.79,1.15
Sunnyview Hospital and Rehabilitation Center,4601004,,,False,,,,,,4251,0,0,0,0,0,0,0.0,0.0,0.0,0.0
The Unity Hospital of Rochester,2754001,,,False,,,,,,36262,2870,712,0,1,7,30,0.0,0.35,2.44,0.83
