state_code,county_fips,total_apps,originations,denials,denial_rate,denial_rate_white,denial_rate_black,denial_rate_hispanic,disparity_ratio_black,disparity_ratio_hispanic,white_apps,black_apps,hispanic_apps
WY,56025,1477,1284.0,193.0,0.1307,0.1159,0.5,0.2885,4.32,2.49,1191.0,6.0,104.0
IA,19015,475,421.0,54.0,0.1137,0.1157,0.5,0.25,4.32,2.16,389.0,4.0,4.0
IA,19065,294,259.0,35.0,0.119,0.1163,0.5,0.1,4.3,0.86,258.0,4.0,10.0
MO,29113,1214,1015.0,199.0,0.1639,0.1614,0.6923,0.1667,4.29,1.03,1004.0,13.0,24.0
MN,27099,593,518.0,75.0,0.1265,0.1012,0.4333,0.1132,4.28,1.12,415.0,30.0,53.0
NC,37125,2324,2020.0,304.0,0.1308,0.1038,0.4444,0.1933,4.28,1.86,1724.0,117.0,119.0
MO,29213,943,801.0,142.0,0.1506,0.146,0.625,0.3077,4.28,2.11,733.0,8.0,26.0
TN,47035,990,756.0,234.0,0.2364,0.2341,1.0,0.6429,4.27,2.75,863.0,1.0,28.0
WI,55021,1086,975.0,111.0,0.1022,0.1007,0.4286,0.4615,4.26,4.58,874.0,7.0,26.0
SC,45053,1342,965.0,377.0,0.2809,0.1577,0.6712,0.4667,4.26,2.96,869.0,222.0,165.0
WI,55029,639,561.0,78.0,0.1221,0.1183,0.5,0.0,4.23,0.0,541.0,2.0,9.0
GA,13243,81,33.0,48.0,0.5926,0.1765,0.7414,,4.2,,17.0,58.0,0.0
VA,51037,103,67.0,36.0,0.3495,0.1846,0.7727,0.0,4.19,0.0,65.0,22.0,1.0
IA,19031,403,354.0,49.0,0.1216,0.12,0.5,0.0,4.17,0.0,350.0,6.0,4.0
MN,27009,586,502.0,84.0,0.1433,0.1099,0.4545,0.3125,4.14,2.84,464.0,11.0,16.0
OH,39147,565,504.0,61.0,0.108,0.1075,0.4444,0.1429,4.13,1.33,493.0,9.0,21.0
GA,13141,90,56.0,34.0,0.3778,0.1778,0.7308,1.0,4.11,5.63,45.0,26.0,1.0
TN,47083,172,142.0,30.0,0.1744,0.1625,0.6667,0.5,4.1,3.08,160.0,3.0,2.0
NC,37137,201,163.0,38.0,0.1891,0.1586,0.6471,0.1429,4.08,0.9,145.0,17.0,7.0
GA,13187,535,443.0,92.0,0.172,0.1531,0.625,0.2,4.08,1.31,418.0,8.0,20.0
VA,51113,181,153.0,28.0,0.1547,0.1232,0.5,0.2143,4.06,1.74,138.0,16.0,14.0
MS,28103,135,67.0,68.0,0.5037,0.1563,0.6292,0.5,4.03,3.2,32.0,89.0,2.0
